FighterID,gender
2503056/charlie-brenneman,M
4709163/harry-brereton,M
3089058/robert-breslin,M
2512058/mack-brewer,M
2499874/andy-bridges,M
3117722/chris-bridgewater,M
4570799/marcos-brigagao,M
2500124/vinny-brightman,M
2335532/jason-brilz,M
2611951/marcus-brimage,M
2977004/henry-briones,M
2559801/anderson-brito,M
3082409/elvin-leon-brito,M
4422355/joanderson-brito,M
2501242/jorge-brito,M
2501485/marcelo-brito,M
3116264/walber-brito-de-barros,M
2500729/antwain-britt,M
2502037/aristides-britto,M
4290361/devon-brock,M
2553870/mike-bronzoulis,M
2537059/donald-brook,M
2617233/carlos-brooks,M
3111192/ej-brooks,M
4036094/jarred-brooks,M
3087469/kevin-brooks,M
3017946/will-brooks,M
3026154/jason-broom,M
4423430/andy-brossett,M
2509241/rob-broughton,M
2504990/lee-brousseau,M
2556966/rhomez-brower,M
2556579/cameron-brown,M
2527881/chris-brown,M
3104468/damien-brown,M
3960090/derrick-brown,M
